show_id,genre,release_year
s419,Children & Family Movies,2019
s420,Children & Family Movies,2010
s420,Sports Movies,2010
s421,Children & Family Movies,2012
s422,Children & Family Movies,2014
s423,Children & Family Movies,2011
s424,Children & Family Movies,2011
s425,Children & Family Movies,2012
s426,Tv Dramas,2019
s427,Dramas,2021
s428,Comedies,2019
s428,International Movies,2019
s429,Anime Features,2021
s429,Children & Family Movies,2021
s429,International Movies,2021
s430,Dramas,2020
s430,International Movies,2020
s430,Thrillers,2020
s431,British Tv Shows,2021
s431,International Tv Shows,2021
s431,Reality Tv,2021
s432,International Tv Shows,2021
s432,Reality Tv,2021
s432,Romantic Tv Shows,2021
s433,Children & Family Movies,2021
s434,Comedies,2020
s434,Dramas,2020
s434,Independent Movies,2020
s435,Classic & Cult Tv,2020
s435,Crime Tv Shows,2020
s435,International Tv Shows,2020
s436,Crime Tv Shows,2019
s436,International Tv Shows,2019
s436,Romantic Tv Shows,2019
s437,Dramas,2021
s437,International Movies,2021
s437,Romantic Movies,2021
s438,Action & Adventure,2021
s439,Dramas,2020
s439,International Movies,2020
s439,Romantic Movies,2020
s440,Dramas,2021
s440,International Movies,2021
s440,Thrillers,2021
s441,Docuseries,2021
s441,Science & Nature Tv,2021
s442,Horror Movies,2021
s442,Lgbtq Movies,2021
s443,Kids' Tv,2021
s443,Tv Comedies,2021
s444,Comedies,1999
s444,International Movies,1999
s445,Docuseries,2021
s446,Dramas,2017
s446,Independent Movies,2017
s446,Thrillers,2017
s447,Dramas,2017
s448,Dramas,2011
s448,Romantic Movies,2011
s449,Dramas,2012
s449,Romantic Movies,2012
s450,Dramas,2010
s450,Romantic Movies,2010
s451,Dramas,2009
s451,Romantic Movies,2009
s452,Action & Adventure,2008
s452,Dramas,2008
s452,Romantic Movies,2008
s453,Comedies,2021
s453,Dramas,2021
s453,International Movies,2021
s454,Anime Series,2021
s454,International Tv Shows,2021
s455,Comedies,1983
s455,Cult Movies,1983
s456,Documentaries,2021
s456,International Movies,2021
s456,Music & Musicals,2021
s457,International Tv Shows,2019
s457,Romantic Tv Shows,2019
s457,Tv Comedies,2019
s458,Documentaries,2021
s458,International Movies,2021
s458,Sports Movies,2021
s459,Dramas,2021
s459,International Movies,2021
s459,Romantic Movies,2021
s460,Tv Comedies,2021
s460,Tv Dramas,2021
s460,Teen Tv Shows,2021
s461,Children & Family Movies,2007
s461,Comedies,2007
s461,Sports Movies,2007
s462,Comedies,2019
s462,Dramas,2019
s462,Independent Movies,2019
s463,Documentaries,2019
s464,Horror Movies,2021
s464,International Movies,2021
s465,Action & Adventure,2021
s465,Comedies,2021
s466,Crime Tv Shows,2021
s466,Docuseries,2021
s467,Reality Tv,2021
s468,Documentaries,2021
s468,International Movies,2021
s469,Comedies,2021
s469,Dramas,2021
s469,International Movies,2021
s470,Dramas,2019
s470,Independent Movies,2019
s471,Movies,2021
s472,Children & Family Movies,2021
s472,Dramas,2021
s472,International Movies,2021
s473,Kids' Tv,2021
s474,Documentaries,2020
s474,Sports Movies,2020
s475,Action & Adventure,2015
s475,Comedies,2015
s476,Stand-Up Comedy,2019
s477,Comedies,2016
s477,Documentaries,2016
s477,International Movies,2016
s478,Tv Comedies,2021
s478,Tv Dramas,2021
s478,Teen Tv Shows,2021
s479,International Tv Shows,2021
s479,Tv Dramas,2021
s479,Tv Sci-Fi & Fantasy,2021
s480,Horror Movies,2021
s481,Comedies,2020
s481,Dramas,2020
s481,International Movies,2020
s482,Action & Adventure,2021
s482,Dramas,2021
